scout,jogos_num,atleta_id,rodada_id,clube_id,posicao_id,status_id,pontos_num,media_num,variacao_num,preco_num,entrou_em_campo,slug,apelido,apelido_abreviado,nome_x,foto,posicao,status,id,clube_nome,clube_sigla
"{'DS': 1, 'FC': 1, 'FD': 1, 'FF': 1}",1,86757,1,262,5,7,0,3.2,-0.51,8.49,True,everton,Everton,Everton,Everton Sousa Soares,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLA/FORMATO.png,Atacante,Provável,262,FLA,FLA
{},0,137543,1,283,5,6,0,0.0,0.0,2.0,False,tevis,Tevis,Tevis,Tevis Gabriel Alves Santos,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CRU/FORMATO.png,Atacante,Nulo,283,CRU,CRU
{},0,80061,1,262,4,5,0,0.0,0.0,7.0,False,saul,Saúl,Saúl,Saúl Ñíguez Esclapez,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLA/FORMATO.png,Meia,Contundido,262,FLA,FLA
"{'DS': 3, 'FC': 1, 'FS': 3}",1,90532,1,284,4,7,0,5.7,0.18,10.18,True,arthur-melo,Arthur Melo,A. Melo,Arthur Henrique Ramos de Oliveira Melo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/GRE/FORMATO.png,Meia,Provável,284,GRE,GRE
{'FF': 1},1,90285,1,262,5,7,0,0.8,-1.36,7.64,True,bruno-henrique,Bruno Henrique,B. Henrique,Bruno Henrique Pinto,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLA/FORMATO.png,Atacante,Provável,262,FLA,FLA
"{'DS': 4, 'FS': 1}",1,98873,1,262,5,6,0,6.5,0.64,9.64,True,samuel-lino,Samuel Lino,S. Lino,Samuel Dias Lino,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLA/FORMATO.png,Atacante,Nulo,262,FLA,FLA
{},0,82627,1,262,5,6,0,0.0,0.0,10.0,False,luiz-araujo,Luiz Araújo,L. Araújo,Luiz de Araújo Guimarães Neto,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLA/FORMATO.png,Atacante,Nulo,262,FLA,FLA
"{'CV': 1, 'DS': 1, 'FC': 1}",1,84735,1,262,4,3,0,-1.8,-3.36,11.64,True,jorginho,Jorginho,Jorginho,Jorge Luiz Frello Filho,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLA/FORMATO.png,Meia,Suspenso,262,FLA,FLA
"{'DS': 2, 'FS': 1}",1,91473,1,262,4,7,0,3.5,-0.59,9.41,True,erick-pulgar,Erick Pulgar,E. Pulgar,Erick Antonio Pulgar Farfán,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLA/FORMATO.png,Meia,Provável,262,FLA,FLA
{},0,96870,1,262,2,7,0,0.0,0.0,5.0,False,emerson-royal,Emerson Royal,E. Royal,Emerson Aparecido Leite de Souza Júnior,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLA/FORMATO.png,Lateral,Provável,262,FLA,FLA
"{'FF': 2, 'FS': 1}",1,115914,1,262,4,6,0,2.1,0.01,4.01,True,evertton-araujo,Evertton Araújo,E. Araújo,Everton Gustavo Fernandes Araújo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLA/FORMATO.png,Meia,Nulo,262,FLA,FLA
{'FC': 1},1,97867,1,262,3,7,0,-0.3,-2.29,9.71,True,leo-ortiz,Léo Ortiz,L. Ortiz,Leonardo Rech Ortiz,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLA/FORMATO.png,Zagueiro,Provável,262,FLA,FLA
{},0,122318,1,262,1,6,0,0.0,0.0,3.0,False,dyogo-alves,Dyogo Alves,D. Alves,Francisco Dyogo Bento Alves,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLA/FORMATO.png,Goleiro,Nulo,262,FLA,FLA
{},0,96652,1,262,4,6,0,0.0,0.0,5.0,False,allan,Allan,Allan,Allan Rodrigues de Souza,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLA/FORMATO.png,Meia,Nulo,262,FLA,FLA
{},0,99228,1,262,4,7,0,0.0,0.0,8.0,False,de-la-cruz,De la Cruz,D. Cruz,Diego Nicolás de la Cruz Arcosa,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLA/FORMATO.png,Meia,Provável,262,FLA,FLA
{},0,88393,1,262,2,6,0,0.0,0.0,8.0,False,ayrton-lucas,Ayrton Lucas,A. Lucas,Ayrton Lucas Dantas de Medeiros,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLA/FORMATO.png,Lateral,Nulo,262,FLA,FLA
{},1,139076,1,262,6,7,0,3.95,-0.8,11.2,True,filipe-luis,Filipe Luís,F. Luís,Filipe Luís Kasmirski,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLA/FORMATO.png,Técnico,Provável,262,FLA,FLA
"{'FC': 1, 'FD': 2, 'FS': 1, 'G': 1}",1,109096,1,262,5,6,0,10.6,2.44,9.44,True,plata,Plata,Plata,Gonzalo Jordy Plata Jiménez,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLA/FORMATO.png,Atacante,Nulo,262,FLA,FLA
{'FF': 1},1,87863,1,262,4,7,0,0.8,-3.9,19.1,True,arrascaeta,Arrascaeta,Arrascaeta,Giorgian Daniel de Arrascaeta Benedetti,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLA/FORMATO.png,Meia,Provável,262,FLA,FLA
{},0,118090,1,262,3,6,0,0.0,0.0,2.0,False,iago,Iago,Iago,Iago Teodoro da Silva Nogueira,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLA/FORMATO.png,Zagueiro,Nulo,262,FLA,FLA
{},0,122320,1,262,2,6,0,0.0,0.0,2.0,False,daniel-sales,Daniel Sales,D. Sales,Daniel dos Santos Salles,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLA/FORMATO.png,Lateral,Nulo,262,FLA,FLA
{},0,130189,1,262,1,6,0,0.0,0.0,2.0,False,leo-nannetti,Léo Nannetti,L. Nannetti,Leonardo Nannetti Lopes,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLA/FORMATO.png,Goleiro,Nulo,262,FLA,FLA
{'FC': 1},1,62977,1,266,4,6,0,-0.3,-1.38,5.62,True,ganso,Ganso,Ganso,Paulo Henrique Chagas de Lima,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLU/FORMATO.png,Meia,Nulo,266,FLU,FLU
{},0,145705,1,262,5,6,0,0.0,0.0,2.0,False,douglas-telles,Douglas Telles,D. Telles,Douglas Costa Telles,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLA/FORMATO.png,Atacante,Nulo,262,FLA,FLA
{},0,122573,1,262,5,6,0,0.0,0.0,5.0,False,wallace-yan,Wallace Yan,W. Yan,Wallace Yan de Souza Barreto,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLA/FORMATO.png,Atacante,Nulo,262,FLA,FLA
{},0,140303,1,262,3,6,0,0.0,0.0,2.0,False,da-mata,Da Mata,D. Mata,João Pedro do Nascimento da Mata,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLA/FORMATO.png,Zagueiro,Nulo,262,FLA,FLA
"{'DS': 2, 'FC': 1, 'FS': 2}",1,73384,1,266,2,7,0,3.7,-0.34,8.66,True,samuel-xavier,Samuel Xavier,S. Xavier,Samuel Xavier Brito,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLU/FORMATO.png,Lateral,Provável,266,FLU,FLU
